,Title,Date,Frequency,first_genre,second_genre,third_genre
0,JoJo's Bizarre Adventure,10/19/22,98,Anime Series,International TV Shows,
1,How to Become a Tyrant,10/19/22,6,Docuseries,,
2,Thus Spoke Kishibe Rohan,8/31/22,1,Anime Series,International TV Shows,
3,Safe House,7/14/22,1,Action & Adventure,,
4,Mine,7/5/22,1,International TV Shows,TV Dramas,
5,Wanted,6/2/22,1,Comedies,International Movies,
6,Who Killed Sara?,6/2/22,25,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
7,Snowpiercer,3/30/22,30,Action & Adventure,Cult Movies,International Movies
8,Yes Man,3/8/22,1,Comedies,Romantic Movies,
9,Outlander,3/8/22,1,Romantic TV Shows,TV Action & Adventure,TV Dramas
10,Pieces of a Woman,2/16/22,1,Dramas,,
11,Worth,2/16/22,1,Dramas,,
12,Blue Miracle,2/15/22,1,Children & Family Movies,Dramas,Faith & Spirituality
13,The Dig,2/10/22,1,Dramas,International Movies,
14,I Care a Lot,1/19/22,1,Comedies,LGBTQ Movies,Thrillers
15,The Platform,1/3/22,1,International TV Shows,TV Dramas,TV Mysteries
16,The Father Who Moves Mountains,12/29/21,1,Dramas,International Movies,Thrillers
17,Into the Wild,11/9/21,1,Action & Adventure,Dramas,Independent Movies
18,Fatherhood,10/18/21,1,Dramas,,
19,Squid Game,10/13/21,9,International TV Shows,TV Dramas,TV Thrillers
20,Alice in Borderland,10/12/21,4,International TV Shows,TV Action & Adventure,TV Mysteries
21,The Tourist,10/7/21,1,Action & Adventure,Romantic Movies,
22,Catch Me If You Can,10/6/21,1,Dramas,,
23,Schumacher,9/27/21,1,Documentaries,International Movies,Sports Movies
24,House of Cards,9/23/21,2,TV Dramas,TV Thrillers,
25,The Losers,9/21/21,1,Action & Adventure,,
26,Seaspiracy,9/13/21,1,Documentaries,,
27,The Sinner,8/27/21,24,Crime TV Shows,TV Dramas,TV Mysteries
28,Into the Night,8/16/21,6,International TV Shows,TV Dramas,TV Mysteries
29,How to Sell Drugs Online (Fast),8/12/21,18,Crime TV Shows,International TV Shows,TV Comedies
30,Total Drama,7/27/21,2,Kids TV,TV Comedies,
31,Too Hot to Handle,7/3/21,19,Reality TV,Romantic TV Shows,
32,Elite,6/22/21,4,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
33,Lupin,6/14/21,6,Crime TV Shows,International TV Shows,TV Action & Adventure
34,The Innocent,6/3/21,8,Crime TV Shows,International TV Shows,Spanish-Language TV Shows
35,The Game,5/5/21,1,Thrillers,,
36,Behind Her Eyes,4/25/21,6,British TV Shows,International TV Shows,TV Dramas
37,The One,3/17/21,1,British TV Shows,Crime TV Shows,International TV Shows
38,The White Tiger,3/6/21,1,Dramas,,
39,The Next Three Days,3/4/21,1,Dramas,Thrillers,
40,The Crown,2/5/21,40,British TV Shows,International TV Shows,TV Dramas
41,Notes for My Son,2/2/21,1,Dramas,International Movies,
42,The Walking Dead,1/17/21,2,Classic & Cult TV,TV Action & Adventure,TV Dramas
43,Barbarians,1/12/21,1,International TV Shows,TV Action & Adventure,TV Dramas
44,Holidate,1/8/21,1,Comedies,Romantic Movies,
45,The Queen's Gambit,12/18/20,7,TV Dramas,,
46,The Beast,11/29/20,1,Action & Adventure,International Movies,
47,If Anything Happens I Love You,11/24/20,1,Dramas,,
48,The Circle,11/1/20,12,Reality TV,,
49,Over the Moon,10/28/20,1,Children & Family Movies,Music & Musicals,
50,Seven,10/27/20,1,Dramas,International Movies,
51,Bodyguard,10/24/20,6,Action & Adventure,Comedies,International Movies
52,Dare Me,10/13/20,10,Crime TV Shows,TV Dramas,TV Thrillers
53,Freedom Writers,10/2/20,1,Dramas,,
54,The Lovely Bones,9/5/20,1,Dramas,International Movies,Sci-Fi & Fantasy
55,Angels & Demons,8/18/20,1,Thrillers,,
56,The Last Dance,7/2/20,10,Docuseries,,
57,Extraction,4/24/20,1,Action & Adventure,,
58,Nobody Sleeps in the Woods Tonight,3/30/20,1,Horror Movies,International Movies,
59,Atypical,3/2/20,23,TV Comedies,TV Dramas,Teen TV Shows
60,Marcella,1/28/20,16,British TV Shows,Crime TV Shows,International TV Shows
61,Taare Zameen Par,1/25/20,1,Dramas,International Movies,
62,Explained,11/30/19,2,Docuseries,Science & Nature TV,
63,Orange Is the New Black,11/15/19,2,TV Comedies,TV Dramas,
64,Disenchantment,9/27/19,2,TV Action & Adventure,TV Comedies,TV Sci-Fi & Fantasy
