first_genre,Title,Title
Action & Adventure,Bodyguard,1
Action & Adventure,Extraction,1
Action & Adventure,Into the Wild,1
Action & Adventure,Safe House,1
Action & Adventure,Snowpiercer,1
Action & Adventure,The Beast,1
Action & Adventure,The Losers,1
Action & Adventure,The Tourist,1
Anime Series,JoJo's Bizarre Adventure,1
Anime Series,Thus Spoke Kishibe Rohan,1
British TV Shows,Behind Her Eyes,1
British TV Shows,Marcella,1
British TV Shows,The Crown,1
British TV Shows,The One,1
Children & Family Movies,Blue Miracle,1
Children & Family Movies,Over the Moon,1
Classic & Cult TV,The Walking Dead,1
Comedies,Holidate,1
Comedies,I Care a Lot,1
Comedies,Wanted,1
Comedies,Yes Man,1
Crime TV Shows,Dare Me,1
Crime TV Shows,Elite,1
Crime TV Shows,How to Sell Drugs Online (Fast),1
Crime TV Shows,Lupin,1
Crime TV Shows,The Innocent,1
Crime TV Shows,The Sinner,1
Crime TV Shows,Who Killed Sara?,1
Documentaries,Schumacher,1
Documentaries,Seaspiracy,1
Docuseries,Explained,1
Docuseries,How to Become a Tyrant,1
Docuseries,The Last Dance,1
Dramas,Catch Me If You Can,1
Dramas,Fatherhood,1
Dramas,Freedom Writers,1
Dramas,If Anything Happens I Love You,1
Dramas,Notes for My Son,1
Dramas,Pieces of a Woman,1
Dramas,Seven,1
Dramas,Taare Zameen Par,1
Dramas,The Dig,1
Dramas,The Father Who Moves Mountains,1
Dramas,The Lovely Bones,1
Dramas,The Next Three Days,1
Dramas,The White Tiger,1
Dramas,Worth,1
Horror Movies,Nobody Sleeps in the Woods Tonight,1
International TV Shows,Alice in Borderland,1
International TV Shows,Barbarians,1
International TV Shows,Into the Night,1
International TV Shows,Mine,1
International TV Shows,Squid Game,1
International TV Shows,The Platform,1
Kids TV,Total Drama,1
Reality TV,The Circle,1
Reality TV,Too Hot to Handle,1
Romantic TV Shows,Outlander,1
TV Action & Adventure,Disenchantment,1
TV Comedies,Atypical,1
TV Comedies,Orange Is the New Black,1
TV Dramas,House of Cards,1
TV Dramas,The Queen's Gambit,1
Thrillers,Angels & Demons,1
Thrillers,The Game,1
